Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating
449457,5,3.7,2657,1916,2,0.5,94328,88.15,9
765987,3,2.6,2665,1913,1,1.28,45585,27.79,6
370936,3,4.0,3712,1930,0,1.3,40682,19.4,5
339931,3,1.2,3653,1923,0,1.49,57864,87.98,3
339629,2,2.7,4028,1998,1,0.35,94416,65.76,9
305041,5,3.9,4519,2007,3,1.46,65114,31.09,5
798361,1,2.6,4028,1959,3,1.83,48067,74.23,5
831912,4,2.9,3171,1944,3,0.44,52685,81.51,4
517113,1,3.1,3691,1997,3,0.55,28073,61.5,4
168148,5,2.4,4556,1902,1,1.95,46035,68.79,1
877089,4,2.9,894,1936,3,0.44,74977,37.53,7
748531,5,2.8,3474,1942,2,1.72,93362,53.87,9
351995,3,3.7,2755,1939,3,1.04,75450,52.42,3
778843,4,1.1,1593,1989,0,0.57,20382,84.8,2
672843,3,1.8,2634,1954,3,1.75,14437,84.0,3
356508,1,3.9,2916,1986,1,0.95,80971,83.27,1
903591,1,3.7,4906,2007,0,1.08,74612,1.1,6
996942,4,2.4,4125,1938,1,0.78,71929,74.95,7
206530,4,2.9,3719,1914,1,1.23,22329,75.87,2
704365,5,1.8,3397,2019,0,0.41,35169,67.84,8
922352,5,1.6,4005,2012,1,0.84,97468,75.63,6
560337,3,2.4,1614,1903,1,1.94,44594,84.2,4
824839,4,2.1,1145,1992,3,0.59,86957,47.03,5
905889,1,2.8,3149,1985,2,1.35,70631,50.21,8
559773,5,1.2,1162,1924,1,0.72,55033,12.47,3
308261,5,3.9,3243,1912,1,1.57,73133,38.54,3
864469,1,4.0,3065,1981,1,0.35,83165,64.34,4
441097,5,3.1,2988,1932,3,1.94,83861,78.04,1
415139,3,2.6,3805,1915,2,0.96,62290,21.72,9
271829,4,1.9,4081,2008,0,0.55,41750,13.78,8
371836,1,3.4,1784,1941,3,0.24,50461,66.3,8
538974,4,3.1,2439,2007,3,0.42,83800,0.19,6
302283,5,1.5,1627,1965,2,1.09,88222,17.84,7
296769,5,3.7,3530,1954,2,0.74,34226,2.91,6
661353,1,3.5,4331,1998,3,1.67,16721,16.69,9
323165,3,3.8,3735,1941,0,0.92,66154,18.13,3
723587,2,3.2,4676,1933,3,0.57,30609,38.77,3
635822,1,2.8,926,1929,2,1.27,62130,40.23,3
587879,2,2.3,3977,2022,0,1.44,82909,87.43,3
664685,2,3.8,3856,2018,2,0.42,65249,51.01,9
882038,3,3.6,1403,1912,0,0.42,58895,72.34,4
453531,2,1.1,4249,1912,1,0.17,15656,10.41,7
363160,2,1.1,4946,1917,2,1.5,84520,22.54,9
679879,3,2.1,4333,1931,2,1.36,73740,70.29,7
320884,2,3.4,4167,1995,3,1.0,74309,5.28,9
123247,2,4.0,4168,1998,2,1.7,39984,48.66,3
124300,2,1.5,4597,2022,2,1.63,83822,59.94,4
567281,1,2.8,2592,1938,1,1.21,15901,60.21,8
707086,1,2.1,3661,1945,2,1.75,41552,2.29,6
633556,1,3.9,4276,2015,1,0.49,41055,32.21,5
448951,3,3.5,4217,1928,1,0.31,47685,63.65,4
374329,5,3.5,2445,1961,1,0.61,83965,14.9,8
819064,2,2.4,2005,2012,1,0.21,24716,69.54,1
842139,2,2.2,3830,1992,0,1.11,21138,74.59,9
532315,3,1.8,3672,1961,3,1.88,45298,98.2,1
616588,2,1.2,3872,2016,0,0.17,61112,20.98,8
336584,1,3.6,2654,2007,2,0.33,33429,82.51,4
662332,5,3.4,4821,1956,0,0.96,60200,52.03,9
937646,4,4.0,3508,1915,0,1.87,81308,37.35,5
476896,2,4.0,4302,1955,2,0.7,58244,12.24,3
148984,1,2.7,2132,2007,2,1.06,27347,73.55,9
402918,4,3.3,1001,2010,2,0.18,26920,23.59,9
979858,5,3.8,4307,2020,0,0.38,41822,37.14,4
220151,4,3.5,1374,1909,0,1.97,56659,6.25,4
555808,1,1.7,1336,1929,2,1.93,50108,80.14,8
233767,4,2.4,2425,1924,3,0.11,99099,76.66,2
748663,3,1.4,2922,2002,3,1.91,17967,73.36,9
803550,4,3.9,1185,1983,1,1.31,21871,29.94,6
236330,2,2.8,4081,1904,2,1.75,87452,17.35,9
580754,2,1.7,1274,1964,1,0.96,84270,63.76,8
401648,3,3.0,1217,1993,3,1.08,43613,49.62,7
788519,1,2.9,4400,1948,1,1.03,38179,17.83,1
113986,2,2.1,1754,1902,2,1.37,62188,68.59,3
686146,5,1.3,2005,1944,2,0.37,65099,99.11,2
229312,2,3.0,4920,1913,2,0.16,45262,74.72,5
112666,2,2.6,2790,2019,0,0.69,88213,74.0,5
400804,1,3.3,4372,1929,1,1.44,28268,95.03,5
234633,4,2.6,4958,2013,3,0.48,87866,20.29,4
388998,2,3.6,3513,1967,3,1.38,96269,56.55,5
950937,3,2.7,3003,1917,3,1.94,70545,97.96,3
728776,4,2.7,3920,1961,0,0.28,82146,16.53,1
807611,5,3.6,1766,1936,0,1.38,81966,70.03,5
384806,1,2.2,4232,1924,2,0.94,49922,58.58,9
894824,5,1.4,1488,1947,3,1.75,89364,58.65,9
130535,4,1.1,4501,1964,0,0.44,52913,69.77,4
475713,4,3.3,1141,1952,2,1.42,65677,92.96,3
938688,4,2.9,2524,2009,3,1.69,59841,78.26,1
451279,5,3.1,2592,1978,1,1.89,56332,5.61,2
921654,4,1.6,2559,1972,2,1.4,35032,85.27,8
701661,5,1.4,4012,1914,0,1.04,47846,22.55,1
747972,4,1.0,1789,1948,0,1.27,69474,37.69,8
589570,3,2.1,3062,2020,2,1.75,54936,46.17,7
556551,4,2.8,3282,1987,2,1.18,39794,48.09,8
373109,5,2.2,1751,1967,0,0.16,71588,43.52,6
124538,2,2.3,1522,1911,1,1.87,80984,93.74,9
994498,4,3.7,4189,1958,3,1.41,60331,70.6,3
301664,2,2.0,2879,2021,1,1.39,38141,63.12,4
591234,3,2.5,3517,1936,2,0.51,19074,4.98,6
999684,1,3.4,3132,1960,1,1.35,16406,90.39,8
239182,3,2.2,4176,2000,0,0.85,33291,90.94,5
572525,4,2.9,2300,1942,2,1.34,51568,78.02,3
258338,2,3.6,1085,1969,3,0.3,56851,0.7,6
284064,2,3.8,4295,1938,0,1.35,64823,5.73,4
314020,5,1.4,2865,1955,0,2.0,33312,22.52,9
723094,2,3.8,1568,1962,3,0.19,53108,13.13,3
997421,5,2.5,3857,1945,3,1.96,76918,39.88,4
715270,1,1.8,2961,1987,1,0.87,44171,92.26,7
745914,4,2.4,4093,1910,2,1.75,51779,47.21,7
219176,5,3.9,1746,1961,3,1.59,78828,1.34,4
318126,1,2.5,4135,1976,3,1.18,22411,28.27,6
318969,2,2.0,4950,1997,2,1.5,67009,4.46,3
222409,2,2.9,2281,1924,3,1.77,25422,3.63,6
647707,1,1.7,2701,1970,3,0.87,52468,27.57,2
353618,2,1.2,4251,1951,1,0.72,42371,27.56,8
869598,1,1.4,4864,1903,0,1.37,67022,78.71,2
150015,5,1.4,854,1958,0,1.63,81229,97.48,7
872838,5,1.5,2623,1971,0,1.55,61196,37.12,9
222096,1,1.4,4262,1919,0,1.62,90354,42.89,1
731347,5,2.9,3879,1992,3,0.93,36715,84.48,8
285340,5,1.5,1632,1962,2,1.65,37605,26.81,7
210687,5,2.0,3606,1953,2,0.33,41174,15.64,6
974371,3,3.7,3290,2016,1,1.13,19956,85.31,6
511357,4,2.4,1127,2014,1,0.11,86373,4.65,6
835716,2,3.0,4110,2008,3,0.72,79252,61.97,9
205878,3,1.5,4100,2009,2,0.8,71949,56.2,2
827270,5,1.6,4475,1973,2,0.85,72646,34.59,1
298286,1,1.1,3854,2006,0,1.42,80017,31.52,6
873290,5,1.5,2943,1997,3,0.84,73037,77.19,8
874684,4,1.8,2111,1956,3,0.95,99818,8.64,3
264899,5,1.5,3991,1989,0,0.55,16548,23.68,1
424767,1,1.3,3338,1940,3,0.81,83294,73.24,9
961882,4,1.4,4783,2012,3,0.53,33177,54.83,1
161087,5,2.4,964,2021,1,0.24,34022,12.8,3
479989,4,1.6,1622,1902,2,1.25,15542,88.21,8
175766,2,2.1,1743,2019,3,1.37,70428,39.34,3
143585,2,2.5,1574,1905,1,1.28,32740,82.79,4
471369,5,3.1,2998,1904,2,0.98,69353,78.77,8
164044,4,1.1,3956,1904,0,0.82,66532,62.44,1
542296,1,3.4,4495,1953,1,1.74,26052,49.45,6
209556,5,2.9,4252,1946,1,1.09,57076,97.96,1
626981,2,1.2,1714,1986,2,1.01,63420,14.5,1
981691,2,3.6,2108,1948,0,0.15,10671,72.52,8
867595,5,3.8,4977,1908,1,0.75,10163,19.12,4
300235,4,1.2,1313,1998,3,0.82,51424,33.83,1
125939,2,1.8,2720,1919,3,0.86,63744,30.87,7
252906,4,3.4,4394,2021,3,1.2,80331,94.7,5
642335,2,3.2,2209,2012,0,1.11,20634,96.74,5
388249,2,1.6,3990,1960,1,1.26,14798,18.3,1
237337,3,1.6,2355,2022,3,1.55,32420,2.2,6
508923,2,2.1,1604,2005,0,1.64,39300,72.0,9
515192,1,2.5,2079,1934,3,1.46,99881,41.8,9
668550,5,2.9,4377,1949,2,1.92,20749,8.88,8
487261,5,2.1,3701,1981,1,0.13,35121,68.38,5
910208,4,2.4,2187,1961,1,0.47,47487,54.51,1
785440,2,3.2,3561,1916,0,0.11,43361,98.05,9
752664,1,1.1,3479,1987,0,1.33,31223,22.74,1
554589,4,1.8,2906,1902,1,1.81,82930,40.4,8
237848,3,3.1,3568,1931,3,0.56,24056,54.25,5
717075,4,3.7,4753,1998,3,1.86,38380,79.17,3
227948,4,2.5,3986,2001,2,0.21,36035,54.88,7
679304,2,2.6,4080,1912,3,1.88,40620,61.29,7
364712,3,1.3,3373,2019,0,0.77,29877,22.61,9
599046,4,2.3,3399,2010,0,0.29,65316,84.69,7
551269,1,2.6,4833,1988,3,1.02,74041,42.86,3
121959,1,1.7,1036,1972,0,0.59,63352,14.1,1
760890,5,1.8,2104,1967,1,0.64,40911,66.42,8
850216,3,2.1,4230,1913,1,0.68,42784,21.61,3
890180,3,1.1,2101,2000,3,1.63,13191,9.76,8
328576,5,2.0,3341,1997,1,1.12,43160,86.2,8
637833,4,1.6,2851,1910,1,0.69,74641,46.02,5
265838,3,2.0,1241,2004,2,1.26,59723,74.93,1
435674,1,1.4,2876,1955,2,1.46,13631,29.06,7
979989,1,3.7,3980,1966,1,0.62,16172,78.7,5
502690,2,2.8,3457,2022,3,0.89,52080,11.19,8
693128,3,3.0,4598,1991,2,0.33,99097,35.6,9
218451,4,3.4,1604,1928,0,0.44,30281,97.81,7
547600,5,2.5,874,1908,0,1.39,38671,79.4,7
937437,5,1.3,2975,1966,0,0.44,61431,49.73,1
539792,4,2.6,4724,1924,3,1.1,38602,33.98,4
139353,2,2.8,2889,1997,1,1.45,98789,87.21,2
293075,5,3.2,840,1975,0,0.3,61399,54.48,2
314283,3,2.3,2881,1941,3,1.18,33472,75.84,2
414877,2,1.4,2422,1908,2,0.59,59230,75.41,4
165318,3,1.9,1141,1978,1,1.93,83616,1.79,1
865313,1,2.1,4852,1939,2,1.02,17099,12.63,4
582690,2,2.9,2874,1924,3,1.63,35431,65.96,2
516880,5,2.7,1445,1904,0,1.15,66492,16.16,5
691460,2,2.1,1409,1910,0,0.18,57684,25.55,3
840976,2,4.0,1254,1958,3,1.3,40111,94.66,8
881239,2,2.8,3753,1997,0,1.91,73936,56.02,4
193264,2,1.7,2508,1987,1,1.24,32614,75.07,1
870746,3,1.3,4272,1978,3,1.66,51991,55.8,1
913168,1,1.5,3769,1937,2,1.78,80476,55.25,3
325281,4,1.7,3828,1971,3,0.53,70920,9.42,9
515515,2,1.5,3481,2022,1,0.5,73530,34.37,7
998613,5,1.6,4429,1904,1,1.26,46224,28.24,2
494070,2,1.9,3867,1947,3,0.88,17788,39.07,9
452228,5,1.5,2186,1989,3,1.7,38082,79.83,2
531839,3,3.7,4576,1917,0,1.81,99570,37.19,3
369536,5,1.2,3666,1969,1,0.77,86816,45.17,2
417824,4,2.6,4163,1936,3,0.55,93588,39.74,3
357426,1,2.2,4924,1959,3,1.58,26531,9.34,6
277789,5,3.9,948,1947,1,0.62,98340,44.11,9
613153,5,1.3,4650,1976,3,1.66,54857,19.56,9
842452,1,2.2,2858,1927,0,0.91,20142,18.67,7
937291,4,3.9,1936,1968,1,1.37,58355,9.4,3
225657,2,3.6,986,1976,0,0.28,19866,35.67,4
335167,5,3.5,3654,1980,0,1.29,80067,75.75,6
781669,1,1.8,2050,2013,0,0.96,74027,27.64,5
580671,3,1.5,2133,1939,0,1.21,67906,31.23,2
819094,1,3.0,4993,1944,1,0.42,38138,64.27,6
170467,3,3.8,4950,1995,0,1.5,39956,19.58,3
283734,4,2.7,3511,1961,0,1.74,86295,89.7,8
722794,2,2.7,2585,1992,3,0.51,15439,52.02,2
209751,1,1.8,1550,2014,1,0.28,57241,44.76,1
481050,5,3.3,2562,1957,1,0.14,52533,55.78,9
911774,4,1.6,4720,1966,2,1.32,38270,16.6,3
792517,1,2.0,1281,1955,1,1.25,88815,61.35,1
561079,5,2.3,953,1939,1,1.14,49279,36.31,7
468452,1,2.5,2324,1997,2,0.54,33888,89.72,5
206081,3,1.7,2920,1939,1,0.84,27630,16.89,5
713333,1,1.3,3143,1990,1,1.23,71063,50.71,1
658986,1,2.8,2040,1976,1,1.04,45144,59.81,9
210078,1,1.9,860,2008,1,1.98,62161,3.34,7
967055,4,2.7,1738,1932,2,0.36,87360,36.37,8
122671,1,1.5,2439,1905,1,1.42,60979,73.26,9
518400,5,2.4,4920,1987,1,0.87,16979,82.04,6
455528,3,2.6,4369,1918,2,0.91,36189,31.32,5
710490,3,1.2,2052,1979,3,1.46,52600,79.86,6
151663,1,2.0,971,1939,0,1.42,69560,96.78,2
115708,4,1.4,2258,1991,3,1.98,88040,85.69,4
978338,4,1.2,4349,1996,2,0.34,71558,11.76,3
411955,5,4.0,4997,1958,0,0.3,96205,73.97,7
233883,1,2.0,3122,1958,2,1.48,16910,31.97,9
418394,3,3.4,2436,1947,2,1.2,67713,98.84,5
212547,4,1.8,3915,1940,1,0.62,56857,48.54,6
659042,1,3.0,4890,1912,0,0.25,44964,12.24,2
851102,4,3.3,3804,2006,1,0.26,95667,72.52,3
862002,4,2.8,1129,1944,0,1.8,35227,32.3,3
242483,3,2.4,4440,1988,2,0.46,15978,99.71,9
758271,2,2.2,4694,1952,2,0.71,97527,97.98,7
314835,5,2.0,4907,1941,3,0.53,27153,65.61,8
501896,5,3.8,2141,1999,0,0.77,69765,12.98,9
